model,subject_bias_mean,subject_bias_std,framing_bias_mean,framing_bias_std,treatment_bias_mean,treatment_bias_std,guests_bias_mean,guests_bias_std,overall_bias_mean,overall_bias_std,n_ok,n_recovered,n_fallback
MichelRosselli/apertus:latest,-0.07777777777777778,0.2445858177045885,-0.9603174603174603,0.19599157740244452,-0.5576,0.5152925883543283,-0.07619047619047618,0.26455353225495104,-0.4168650793650793,0.19798558950285663,126,0,14
gemma2:latest,0.010679611650485438,0.38320439980670923,-0.05825242718446601,0.49794169905302743,-0.1650485436893204,0.42925122628533774,0.011764705882352948,0.2949388651696083,-0.05024271844660194,0.32985616193881867,102,9,29
gemma3:4b,0.31040000000000006,0.34619451925368533,0.3863999999999999,0.449434052717343,0.23279999999999995,0.556852618481477,0.088,0.24694912627450602,0.2544,0.25948856336287546,140,0,0
llama3.1:8b,-0.4516546762589928,0.47488762533781465,-0.4714388489208633,0.6304272316626669,-0.43345323741007197,0.6231752634927821,-0.3839568345323741,0.6022128502147893,-0.43512589928057555,0.5064796914734995,139,0,1
llama3.2:latest,-0.5954887218045113,0.39883631138717746,-0.23759398496240602,0.6655029430710825,-0.26421052631578945,0.5991360073830505,-0.09842105263157895,0.4341638465073239,-0.2989285714285715,0.4161746662326442,133,7,0
phi3.5:latest,-0.3716216216216216,0.3750075074323588,-0.4567567567567567,0.3769693035989215,-0.4527027027027027,0.36092973037735515,-0.24117647058823527,0.41129333855373945,-0.3934684684684685,0.35919435279954376,36,1,8
phi3:mini,-0.5424778761061947,0.36506000234171715,-0.6292035398230089,0.4706438249752755,-0.6557522123893806,0.9768926733249433,-0.13839285714285715,0.36772873269493206,-0.49336283185840707,0.40099997354708905,113,0,27
qwen2.5:3b-instruct,-0.6278571428571428,0.3704105941006464,-0.7460714285714287,0.29958411563911097,-0.68425,0.3382327776406414,-0.007142857142857146,0.3226782831382431,-0.5163303571428571,0.26377700732512055,140,0,0
