,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p[159],0.829,0.089,0.662,0.97,0.001,0.001,7715.0,4841.0,1.0
p[160],0.662,0.123,0.434,0.875,0.001,0.002,9870.0,4300.0,1.0
p[161],0.413,0.135,0.159,0.655,0.001,0.002,8848.0,4629.0,1.0
p[162],0.281,0.109,0.099,0.496,0.001,0.001,7309.0,4466.0,1.0
p[163],0.549,0.129,0.322,0.798,0.001,0.001,8854.0,4739.0,1.0
p[164],0.333,0.115,0.126,0.545,0.001,0.001,8382.0,5045.0,1.0
p[165],0.536,0.133,0.293,0.789,0.001,0.001,8589.0,5156.0,1.0
p[166],0.42,0.129,0.186,0.661,0.001,0.002,8684.0,4596.0,1.0
p[167],0.616,0.129,0.365,0.843,0.001,0.001,8392.0,5106.0,1.0
p[168],0.563,0.138,0.298,0.802,0.001,0.001,8609.0,5224.0,1.0
p[169],0.11,0.069,0.01,0.239,0.001,0.001,4844.0,4488.0,1.0
p[170],0.609,0.13,0.366,0.841,0.001,0.001,8974.0,4977.0,1.0
p[171],0.394,0.126,0.167,0.63,0.001,0.001,8398.0,4938.0,1.0
p[172],0.192,0.094,0.041,0.366,0.001,0.001,5986.0,4929.0,1.0
p[173],0.583,0.13,0.346,0.825,0.002,0.001,7385.0,4367.0,1.0
p[174],0.703,0.129,0.47,0.927,0.001,0.001,8437.0,5088.0,1.0
p[175],0.543,0.138,0.286,0.796,0.001,0.001,8612.0,5041.0,1.0
p[176],0.653,0.128,0.412,0.877,0.001,0.001,7942.0,4334.0,1.0
p[177],0.382,0.125,0.161,0.619,0.001,0.002,9072.0,4635.0,1.0
p[178],0.523,0.131,0.283,0.765,0.001,0.001,8454.0,4851.0,1.0
p[179],0.374,0.123,0.162,0.611,0.001,0.001,8436.0,4823.0,1.0
p[180],0.423,0.129,0.184,0.661,0.001,0.002,8606.0,4819.0,1.0
p[181],0.625,0.136,0.371,0.87,0.001,0.002,8334.0,4745.0,1.0
p[182],0.208,0.093,0.051,0.382,0.001,0.001,7355.0,4605.0,1.0
p[183],0.597,0.13,0.347,0.82,0.001,0.002,9382.0,5077.0,1.0
p[184],0.716,0.116,0.499,0.913,0.001,0.001,10105.0,5215.0,1.0
p[185],0.878,0.07,0.75,0.982,0.001,0.001,8600.0,5096.0,1.0
p[186],0.733,0.11,0.528,0.922,0.001,0.001,8963.0,4943.0,1.0
p[187],0.267,0.132,0.032,0.498,0.002,0.001,5500.0,4370.0,1.0
p[188],0.763,0.109,0.557,0.945,0.001,0.001,9431.0,4738.0,1.0
p[189],0.695,0.118,0.477,0.906,0.001,0.002,9417.0,4840.0,1.0
p[190],0.498,0.135,0.226,0.732,0.001,0.001,10672.0,5470.0,1.0
p[191],0.704,0.12,0.483,0.913,0.001,0.001,8758.0,4843.0,1.0
p[192],0.656,0.128,0.422,0.883,0.001,0.002,8229.0,4881.0,1.0
p[193],0.869,0.07,0.735,0.976,0.001,0.001,8743.0,4819.0,1.0
p[194],0.646,0.127,0.403,0.86,0.001,0.002,10215.0,4578.0,1.0
p[195],0.639,0.127,0.401,0.861,0.001,0.002,9365.0,4432.0,1.0
p[196],0.616,0.128,0.386,0.856,0.001,0.002,8476.0,4689.0,1.0
p[197],0.879,0.067,0.757,0.981,0.001,0.001,8227.0,4625.0,1.0
p[198],0.438,0.139,0.194,0.702,0.001,0.002,8528.0,4776.0,1.0
p[199],0.344,0.128,0.124,0.585,0.001,0.001,9528.0,4986.0,1.0
