,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|article_id[29147820],0.302,0.568,-0.724,1.419,0.007,0.008,7670.0,5023.0,1.0
1|article_id[29147828],0.522,0.57,-0.554,1.597,0.006,0.008,9105.0,4702.0,1.0
1|article_id[29148256],1.003,0.592,-0.083,2.13,0.008,0.009,5820.0,3716.0,1.0
1|article_id[29148270],0.548,0.557,-0.442,1.637,0.006,0.008,7621.0,4291.0,1.0
1|article_id[29148433],-0.145,0.687,-1.479,1.137,0.009,0.01,6366.0,4378.0,1.0
1|article_id[29150791],-0.18,0.533,-1.21,0.78,0.006,0.008,8516.0,4563.0,1.0
1|article_id[29150974],0.831,0.59,-0.218,1.954,0.007,0.009,7689.0,4438.0,1.0
1|article_id[29151828],0.624,0.555,-0.368,1.696,0.006,0.007,7702.0,5164.0,1.0
1|article_id[29152239],-0.588,0.558,-1.631,0.456,0.007,0.008,7195.0,4241.0,1.0
1|article_id[29152429],-1.191,0.617,-2.344,-0.04,0.008,0.008,6030.0,4489.0,1.0
1|article_id[29153734],-0.313,0.55,-1.328,0.742,0.006,0.008,9314.0,4598.0,1.0
1|article_id[29153846],-0.871,0.571,-1.934,0.211,0.007,0.008,7764.0,4823.0,1.0
1|article_id[29154335],-0.298,0.586,-1.382,0.842,0.007,0.008,7204.0,4284.0,1.0
p[0],0.578,0.138,0.311,0.818,0.001,0.002,8716.0,4402.0,1.0
p[1],0.717,0.117,0.508,0.927,0.001,0.001,8379.0,4775.0,1.0
p[2],0.692,0.116,0.475,0.895,0.001,0.001,9599.0,5085.0,1.0
p[3],0.757,0.106,0.555,0.93,0.001,0.001,9275.0,4818.0,1.0
p[4],0.413,0.143,0.154,0.671,0.002,0.001,6871.0,4505.0,1.0
p[5],0.831,0.082,0.678,0.961,0.001,0.001,7940.0,4632.0,1.0
p[6],0.829,0.098,0.648,0.974,0.001,0.001,8641.0,4991.0,1.0
p[7],0.754,0.108,0.558,0.939,0.001,0.001,9031.0,4915.0,1.0
p[8],0.479,0.139,0.223,0.741,0.002,0.002,8562.0,4378.0,1.0
p[9],0.813,0.093,0.639,0.965,0.001,0.001,6754.0,4789.0,1.0
p[10],0.734,0.118,0.519,0.934,0.001,0.002,9656.0,4873.0,1.0
p[11],0.694,0.123,0.471,0.911,0.001,0.001,8447.0,4518.0,1.0
p[12],0.531,0.14,0.282,0.8,0.001,0.002,8896.0,4748.0,1.0
p[13],0.838,0.081,0.691,0.973,0.001,0.001,9005.0,4192.0,1.0
p[14],0.526,0.144,0.271,0.796,0.001,0.002,9257.0,4899.0,1.0
p[15],0.364,0.135,0.122,0.607,0.001,0.002,9618.0,5089.0,1.0
p[16],0.468,0.157,0.189,0.765,0.002,0.001,8828.0,4935.0,1.0
p[17],0.132,0.068,0.026,0.256,0.001,0.001,9415.0,4914.0,1.0
p[18],0.286,0.117,0.082,0.499,0.001,0.002,9006.0,4577.0,1.0
p[19],0.218,0.097,0.06,0.402,0.001,0.001,9652.0,4602.0,1.0
p[20],0.403,0.145,0.152,0.675,0.002,0.002,7732.0,4246.0,1.0
p[21],0.212,0.095,0.058,0.388,0.001,0.001,9405.0,4679.0,1.0
p[22],0.183,0.089,0.043,0.347,0.001,0.001,9155.0,4518.0,1.0
p[23],0.589,0.146,0.31,0.847,0.002,0.002,7626.0,4157.0,1.0
p[24],0.106,0.059,0.018,0.217,0.001,0.001,8515.0,4535.0,1.0
p[25],0.282,0.113,0.09,0.491,0.001,0.001,7611.0,4418.0,1.0
p[26],0.495,0.135,0.263,0.759,0.001,0.002,9273.0,4891.0,1.0
p[27],0.288,0.112,0.095,0.498,0.001,0.001,8935.0,4743.0,1.0
p[28],0.401,0.128,0.173,0.639,0.001,0.002,10131.0,5097.0,1.0
p[29],0.595,0.135,0.349,0.842,0.001,0.002,9510.0,4309.0,1.0
p[30],0.316,0.121,0.108,0.547,0.001,0.002,9423.0,4853.0,1.0
p[31],0.53,0.14,0.278,0.791,0.002,0.002,8273.0,4672.0,1.0
p[32],0.627,0.149,0.357,0.896,0.002,0.002,9005.0,4529.0,1.0
p[33],0.255,0.106,0.076,0.456,0.001,0.001,9553.0,5135.0,1.0
p[34],0.469,0.136,0.216,0.717,0.001,0.001,8938.0,4851.0,1.0
p[35],0.598,0.136,0.352,0.856,0.002,0.002,6824.0,4644.0,1.0
p[36],0.383,0.127,0.151,0.621,0.001,0.001,9552.0,4924.0,1.0
p[37],0.469,0.135,0.216,0.714,0.001,0.002,8844.0,4746.0,1.0
p[38],0.596,0.142,0.33,0.849,0.002,0.002,7945.0,4928.0,1.0
p[39],0.326,0.121,0.118,0.558,0.001,0.002,9625.0,4799.0,1.0
p[40],0.305,0.117,0.103,0.528,0.001,0.001,9031.0,4865.0,1.0
p[41],0.625,0.135,0.376,0.871,0.001,0.002,8877.0,4441.0,1.0
p[42],0.209,0.095,0.045,0.384,0.001,0.001,8726.0,4623.0,1.0
p[43],0.858,0.073,0.718,0.969,0.001,0.001,8201.0,5108.0,1.0
p[44],0.711,0.115,0.501,0.91,0.001,0.001,9736.0,5027.0,1.0
p[45],0.78,0.102,0.581,0.939,0.001,0.002,9689.0,4318.0,1.0
p[46],0.886,0.063,0.773,0.981,0.001,0.001,9142.0,5400.0,1.0
p[47],0.806,0.09,0.636,0.95,0.001,0.001,9162.0,4805.0,1.0
p[48],0.536,0.15,0.254,0.799,0.002,0.002,6664.0,4851.0,1.0
p[49],0.621,0.133,0.363,0.85,0.001,0.002,10124.0,4525.0,1.0
p[50],0.921,0.052,0.826,0.99,0.001,0.001,8499.0,4902.0,1.0
p[51],0.626,0.132,0.384,0.862,0.001,0.001,9281.0,4975.0,1.0
p[52],0.831,0.085,0.673,0.961,0.001,0.001,9897.0,5072.0,1.0
p[53],0.752,0.108,0.543,0.926,0.001,0.001,9710.0,4663.0,1.0
p[54],0.844,0.079,0.698,0.966,0.001,0.001,7826.0,5007.0,1.0
p[55],0.783,0.099,0.599,0.949,0.001,0.001,9017.0,4837.0,1.0
p[56],0.727,0.113,0.515,0.913,0.001,0.002,8092.0,4558.0,1.0
p[57],0.93,0.044,0.85,0.992,0.001,0.001,7914.0,4210.0,1.0
p[58],0.563,0.142,0.303,0.821,0.002,0.002,8753.0,5165.0,1.0
p[59],0.81,0.09,0.638,0.955,0.001,0.001,9156.0,4623.0,1.0
p[60],0.81,0.091,0.645,0.963,0.001,0.001,8929.0,4588.0,1.0
p[61],0.218,0.116,0.028,0.431,0.002,0.001,5275.0,4238.0,1.0
p[62],0.806,0.093,0.634,0.956,0.001,0.001,9453.0,4830.0,1.0
p[63],0.35,0.136,0.115,0.603,0.002,0.002,6730.0,4673.0,1.0
p[64],0.536,0.143,0.264,0.79,0.001,0.002,9270.0,4330.0,1.0
p[65],0.435,0.134,0.194,0.686,0.001,0.002,9428.0,4757.0,1.0
p[66],0.812,0.092,0.647,0.967,0.001,0.001,6217.0,3958.0,1.0
p[67],0.614,0.13,0.382,0.859,0.001,0.002,9481.0,4922.0,1.0
p[68],0.592,0.131,0.345,0.829,0.001,0.002,8821.0,4569.0,1.0
p[69],0.797,0.094,0.626,0.953,0.001,0.001,8930.0,3679.0,1.0
p[70],0.333,0.115,0.126,0.545,0.001,0.001,8382.0,5045.0,1.0
p[71],0.616,0.129,0.365,0.843,0.001,0.001,8392.0,5106.0,1.0
p[72],0.253,0.102,0.071,0.438,0.001,0.001,8710.0,5168.0,1.0
p[73],0.237,0.101,0.058,0.422,0.001,0.001,7242.0,4410.0,1.0
p[74],0.619,0.133,0.373,0.859,0.002,0.002,6804.0,4319.0,1.0
p[75],0.437,0.136,0.198,0.698,0.002,0.001,8232.0,4837.0,1.0
p[76],0.647,0.133,0.414,0.898,0.002,0.002,7463.0,4781.0,1.0
p[77],0.208,0.093,0.051,0.382,0.001,0.001,7355.0,4605.0,1.0
p[78],0.537,0.138,0.282,0.791,0.001,0.002,8605.0,4356.0,1.0
p[79],0.717,0.117,0.508,0.927,0.001,0.001,8379.0,4775.0,1.0
p[80],0.637,0.127,0.403,0.858,0.001,0.001,9648.0,5092.0,1.0
p[81],0.692,0.116,0.475,0.895,0.001,0.001,9599.0,5085.0,1.0
p[82],0.774,0.101,0.579,0.94,0.001,0.001,9373.0,4722.0,1.0
p[83],0.849,0.077,0.702,0.97,0.001,0.001,9575.0,4771.0,1.0
p[84],0.715,0.115,0.503,0.912,0.001,0.001,8873.0,4854.0,1.0
