model,n_rows,n_success,success_rate
qwen2.5:3b-instruct,124,106,0.8548387096774194
gemma3:4b,124,82,0.6612903225806451
llama3.2:latest,124,81,0.6532258064516129
phi3:mini,124,50,0.4032258064516129
MichelRosselli/apertus:latest,124,45,0.3629032258064516
gemma2:latest,124,44,0.3548387096774194
