model,n,mean_overall_bias,sd_overall_bias,p10,p50,p90
qwen2.5:3b-instruct,106,-0.4141509433962264,0.29422509944251635,-0.75,-0.38749999999999996,0.0
phi3:mini,50,-0.382,0.29119913937975533,-0.8,-0.25,-0.07500000000000001
MichelRosselli/apertus:latest,45,-0.34933333333333333,0.17743868979555624,-0.5,-0.25,-0.13749999999999973
llama3.2:latest,81,-0.17416666666666666,0.2946369588154208,-0.5,-0.125,0.05000000000000001
gemma2:latest,44,-0.04943181818181818,0.24821974489302187,-0.355,0.0,0.07750000000000024
gemma3:4b,82,0.16585365853658537,0.2039544322110913,0.0,0.125,0.45
