model,k_samples,n_train_model,n_test_model,wasserstein_mean,wasserstein_sd,ks_mean,ks_sd,quantile_mae_mean,quantile_mae_sd
MichelRosselli/apertus:latest,2,32,13,0.11172115384615385,0.06934286413250629,0.3365384615384615,0.19373239516045787,0.13004166666666672,0.06062807838690658
MichelRosselli/apertus:latest,4,32,13,0.10018750000000001,0.038083973021469084,0.27884615384615385,0.10930741539592406,0.10858333333333339,0.04817196019768918
MichelRosselli/apertus:latest,8,32,13,0.06556971153846154,0.02651000959519429,0.17740384615384616,0.07319458761339119,0.08979166666666671,0.03571549397630546
MichelRosselli/apertus:latest,12,32,13,0.056557291666666655,0.021604041539662007,0.15592948717948718,0.05966542441183113,0.07926041666666671,0.033733770960874536
MichelRosselli/apertus:latest,16,32,13,0.048235877403846154,0.01646062719388773,0.1423076923076923,0.04944790779081037,0.0737916666666667,0.027238101508533504
MichelRosselli/apertus:latest,24,32,13,0.03867608173076923,0.008288025143015139,0.10753205128205127,0.03097256056166899,0.07703125000000008,0.029059201824003136
MichelRosselli/apertus:latest,32,32,13,0.033431490384615375,0.0,0.09134615384615384,0.0,0.09833333333333338,0.0
gemma2:latest,2,23,21,0.17761904761904762,0.09212821658525534,0.3803571428571428,0.1059988442661286,0.13491666666666666,0.08549624706446629
gemma2:latest,4,23,21,0.16055803571428567,0.0664369580171413,0.2922619047619047,0.09078212846445992,0.14089583333333333,0.08536651905042353
gemma2:latest,8,23,21,0.09937872023809524,0.02905910290517997,0.19672619047619047,0.05351119256304384,0.10418749999999996,0.05570561597998356
gemma2:latest,12,23,21,0.07468005952380952,0.024342831751222448,0.14583333333333331,0.04850743348159232,0.08431250000000001,0.03996877676508085
gemma2:latest,16,23,21,0.05957403273809523,0.013333832714630704,0.10833333333333335,0.02619671920264793,0.06739583333333334,0.03534132887078917
gemma2:latest,23,23,21,0.04114906832298137,0.0,0.07867494824016563,0.0,0.06666666666666667,0.0
gemma3:4b,2,38,44,0.16948863636363637,0.07321213936277349,0.5460227272727273,0.1652958699540342,0.15368750000000003,0.07407691378548989
gemma3:4b,4,38,44,0.12455965909090909,0.054444516085981734,0.39375,0.11819386481546727,0.10712500000000003,0.06128082978970747
gemma3:4b,8,38,44,0.07887784090909089,0.026616021347662232,0.2514204545454546,0.08235495945150965,0.06775,0.038573292060684446
gemma3:4b,12,38,44,0.057973484848484844,0.015975770924926008,0.17935606060606063,0.056075500971766064,0.03345833333333331,0.02525549642582976
gemma3:4b,16,38,44,0.053057528409090914,0.020406736092104284,0.1703125,0.05350923477235369,0.039187499999999986,0.03020908118732407
gemma3:4b,24,38,44,0.04002130681818182,0.013624009789921098,0.13418560606060606,0.03838902176642303,0.022562499999999958,0.012352242809370794
gemma3:4b,32,38,44,0.027883522727272726,0.00620058958103093,0.11257102272727271,0.02312164661430294,0.01706249999999996,0.005508306017750396
gemma3:4b,38,38,44,0.017673444976076563,0.0,0.09688995215311005,0.0,0.01416666666666666,0.0
llama3.2:latest,2,38,43,0.21997601744186043,0.11193684130078253,0.5159883720930233,0.13392332561007037,0.20473125000000003,0.10280255618527437
llama3.2:latest,4,38,43,0.21230668604651165,0.08804820142949232,0.42034883720930233,0.12269282207151108,0.18447291666666668,0.08948311406126376
llama3.2:latest,8,38,43,0.14813372093023255,0.05280946343834214,0.3068313953488372,0.08434973375510524,0.12835000000000002,0.06224860322921793
llama3.2:latest,12,38,43,0.11587390988372093,0.03959049594881817,0.27078488372093024,0.07665110471124549,0.10062291666666667,0.05604061849653659
llama3.2:latest,16,38,43,0.10982530886627906,0.04594873251385122,0.24098837209302326,0.06502713865160721,0.11160416666666666,0.06503269709611807
llama3.2:latest,24,38,43,0.08378863856589146,0.02254185142232139,0.21540697674418605,0.040491998098616366,0.07249583333333331,0.030182858843203014
llama3.2:latest,32,38,43,0.07624927325581395,0.0156777084987185,0.21524345930232558,0.02345752349788541,0.06945625000000002,0.016860971931232555
llama3.2:latest,38,38,43,0.07506884944920442,0.0,0.21725826193390452,0.0,0.0519166666666665,0.0
phi3:mini,2,25,25,0.22229375000000004,0.10074824054422195,0.523,0.17124281755478846,0.22536458333333337,0.10393474984283728
phi3:mini,4,25,25,0.18096875000000004,0.08526028563223177,0.3995,0.1442211620731978,0.17160416666666667,0.09277100661738782
phi3:mini,8,25,25,0.1111,0.05030931328496871,0.253625,0.08978598128826926,0.09423958333333333,0.04994814685717391
phi3:mini,12,25,25,0.08525833333333335,0.029352350333243685,0.1995,0.06326154275721382,0.08204166666666668,0.03348400774890567
phi3:mini,16,25,25,0.09539921875000001,0.027066375195821578,0.20631250000000004,0.056746702999223235,0.08896875,0.03351765112808287
phi3:mini,24,25,25,0.072634375,0.008911157024021421,0.15562499999999999,0.020428764076894167,0.06960416666666666,0.02219421646064565
phi3:mini,25,25,25,0.07200000000000004,0.0,0.16,0.0,0.08749999999999998,0.0
qwen2.5:3b-instruct,2,51,55,0.2544599431818182,0.08840524515800638,0.5370454545454546,0.16340812235692098,0.256296875,0.10866284215202833
qwen2.5:3b-instruct,4,51,55,0.16078920454545456,0.06340564442534784,0.3605681818181818,0.12087389071709558,0.15571875,0.07938106301293843
qwen2.5:3b-instruct,8,51,55,0.10868103693181816,0.047870205121663546,0.2589772727272727,0.10491465921077468,0.11216666666666666,0.06251883263274104
qwen2.5:3b-instruct,12,51,55,0.0817066287878788,0.03325192849023107,0.21121212121212124,0.06584915868671418,0.07489583333333331,0.049801667718559955
qwen2.5:3b-instruct,16,51,55,0.07640209517045456,0.036723793846512524,0.17715909090909093,0.06181779617321092,0.067890625,0.05384152471309916
qwen2.5:3b-instruct,24,51,55,0.05732656249999999,0.02412246631246297,0.14481060606060608,0.05521143067075121,0.061734374999999994,0.04561409266208946
qwen2.5:3b-instruct,32,51,55,0.04997594105113637,0.018394676875412717,0.12867897727272726,0.02986008606953429,0.04926041666666664,0.04461806574046243
qwen2.5:3b-instruct,48,51,55,0.03715649857954545,0.007634468880757645,0.09350378787878788,0.012826849770673962,0.029187499999999988,0.016388150968466252
qwen2.5:3b-instruct,51,51,55,0.0358048128342246,0.0,0.0873440285204991,0.0,0.00833333333333334,0.0
