model,subject_bias_mean,subject_bias_std,framing_bias_mean,framing_bias_std,treatment_bias_mean,treatment_bias_std,guests_bias_mean,guests_bias_std,overall_bias_mean,overall_bias_std,n_ok,n_recovered,n_fallback
MichelRosselli/apertus:latest,-0.0375,0.18738632918021625,-0.8830357142857144,0.31439361341452876,-0.49872727272727274,0.5158023399249503,-0.05357142857142857,0.227207782928703,-0.36598214285714287,0.19255027594431998,56,0,80
gemma2:latest,-0.04918032786885247,0.3096357811040105,-0.08688524590163937,0.41088336132292075,-0.12499999999999999,0.34671582658825895,-0.019999999999999997,0.2496098650810154,-0.06967213114754099,0.26763294025658074,60,7,81
gemma3:4b,0.13791208791208792,0.24362319030063384,0.2659340659340659,0.3204926000947709,0.2373626373626373,0.4062424978174576,0.07692307692307693,0.15991450707377852,0.179532967032967,0.20595742281406126,106,0,30
llama3.1:8b,-0.20000000000000004,0.7471156658656128,-0.11666666666666663,0.8788766935265963,-0.1166666666666667,0.8726483550177309,0.075,0.79444091261488,-0.08958333333333335,0.7843974477652296,12,0,0
llama3.2:latest,-0.4810909090909091,0.3747301058230778,-0.1453636363636364,0.6138832290012824,-0.1540909090909091,0.49493636965608034,-0.107,0.41845182112819695,-0.22188636363636363,0.3629168255804735,110,2,41
phi3.5:latest,-0.6666666666666666,0.3011090610836324,-0.75,0.30000000000000004,-0.7000000000000001,0.2664582518894845,-0.2,0.447213595499958,-0.5979166666666667,0.276181175438636,6,0,6
phi3:mini,-0.4464912280701755,0.3721150514677175,-0.6017543859649123,0.41896608628101883,-0.4931034482758621,0.3778341179534416,-0.1701754385964912,0.37127430766055175,-0.42909482758620693,0.3092984060868476,57,1,79
qwen2.5:3b-instruct,-0.47771186440677965,0.38261674608927826,-0.6179661016949152,0.33686985318722534,-0.5691101694915255,0.34715549322586575,-0.06084745762711864,0.34257091416639174,-0.43140889830508483,0.29045547723833726,118,0,18
